0,"[{'score': 0.821359, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.931276, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
1,"[{'score': 0.730335, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
2,"[{'score': 0.653576, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
3,"[{'score': 0.880435, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
4,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
5,[]
6,"[{'score': 0.545809, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.974578, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
7,"[{'score': 0.759718, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
8,"[{'score': 0.589295, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.867767, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
9,"[{'score': 0.882284, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
10,"[{'score': 0.574327, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.775702, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
11,"[{'score': 0.527081, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.93534, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
12,[]
13,[]
14,"[{'score': 0.524157, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.904038, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
15,"[{'score': 0.835987, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
16,"[{'score': 0.689595, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
17,
18,[]
19,"[{'score': 0.762456, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
21,[]
22,[]
23,"[{'score': 0.714165, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
24,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
25,"[{'score': 0.789226, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.726943, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
26,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
27,"[{'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
28,"[{'score': 0.769025, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.587989, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
29,"[{'score': 0.581117, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
30,[]
31,"[{'score': 0.751497, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.857009, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
32,[]
33,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
34,"[{'score': 0.644965, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
35,[]
36,"[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
37,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
38,"[{'score': 0.822231, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
39,"[{'score': 0.715373, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.860358, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
40,"[{'score': 0.684511, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
41,"[{'score': 0.86005, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
42,"[{'score': 0.637375, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.976799, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.818141, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
43,[]
44,[]
45,"[{'score': 0.785909, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.825947, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
46,"[{'score': 0.946222, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
47,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
48,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
49,[]
50,"[{'score': 0.784773, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
51,"[{'score': 0.961593, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
52,"[{'score': 0.752871, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.694442, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
53,"[{'score': 0.78615, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
54,[]
55,"[{'score': 0.712408, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
57,"[{'score': 0.525119, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]"
58,"[{'score': 0.690619, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
59,"[{'score': 0.782923, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.765293, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
60,"[{'score': 0.529787, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
61,
62,"[{'score': 0.755406, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
63,[]
64,"[{'score': 0.501739, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.761262, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.56543, 'tone_id': 'confident', 'tone_name': 'Confident'}]"
65,"[{'score': 0.651664, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
66,"[{'score': 0.530109, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
67,[]
68,"[{'score': 0.689503, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]"
69,"[{'score': 0.689749, 'tone_id': 'joy', 'tone_name': 'Joy'}]"
70,[]
71,"[{'score': 0.676076, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.982476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]"
